model,metric,condition,architecture,n,mean_rank
gpt-4o,sloc,primary,Basic,164,2.548780487804878
gpt-4o,sloc,primary,AC,164,4.432926829268292
gpt-4o,sloc,primary,ACT,164,4.2073170731707314
gpt-4o,sloc,primary,Debugger,164,2.6280487804878048
gpt-4o,sloc,primary,AC+Debugger,164,2.667682926829268
gpt-4o,sloc,primary,ACT+Debugger,164,4.515243902439025
gpt-4o,cc,primary,Basic,164,2.926829268292683
gpt-4o,cc,primary,AC,164,3.9878048780487805
gpt-4o,cc,primary,ACT,164,4.039634146341464
gpt-4o,cc,primary,Debugger,164,3.0640243902439024
gpt-4o,cc,primary,AC+Debugger,164,2.9390243902439024
gpt-4o,cc,primary,ACT+Debugger,164,4.0426829268292686
gpt-4o,halstead_volume,primary,Basic,164,2.9146341463414633
gpt-4o,halstead_volume,primary,AC,164,4.0182926829268295
gpt-4o,halstead_volume,primary,ACT,164,4.015243902439025
gpt-4o,halstead_volume,primary,Debugger,164,3.0548780487804876
gpt-4o,halstead_volume,primary,AC+Debugger,164,2.9451219512195124
gpt-4o,halstead_volume,primary,ACT+Debugger,164,4.051829268292683
gpt-4o,halstead_difficulty,primary,Basic,164,2.9298780487804876
gpt-4o,halstead_difficulty,primary,AC,164,3.926829268292683
gpt-4o,halstead_difficulty,primary,ACT,164,3.9878048780487805
gpt-4o,halstead_difficulty,primary,Debugger,164,3.0701219512195124
gpt-4o,halstead_difficulty,primary,AC+Debugger,164,3.033536585365854
gpt-4o,halstead_difficulty,primary,ACT+Debugger,164,4.051829268292683
gpt-4o,halstead_effort,primary,Basic,164,2.8902439024390243
gpt-4o,halstead_effort,primary,AC,164,3.9786585365853657
gpt-4o,halstead_effort,primary,ACT,164,4.003048780487805
gpt-4o,halstead_effort,primary,Debugger,164,3.042682926829268
gpt-4o,halstead_effort,primary,AC+Debugger,164,3.0121951219512195
gpt-4o,halstead_effort,primary,ACT+Debugger,164,4.073170731707317
gpt-4o,sloc,passing,Basic,127,2.578740157480315
gpt-4o,sloc,passing,AC,127,4.3700787401574805
gpt-4o,sloc,passing,ACT,127,4.224409448818897
gpt-4o,sloc,passing,Debugger,127,2.688976377952756
gpt-4o,sloc,passing,AC+Debugger,127,2.6929133858267718
gpt-4o,sloc,passing,ACT+Debugger,127,4.44488188976378
gpt-4o,cc,passing,Basic,127,2.97244094488189
gpt-4o,cc,passing,AC,127,3.921259842519685
gpt-4o,cc,passing,ACT,127,4.031496062992126
gpt-4o,cc,passing,Debugger,127,3.0708661417322833
gpt-4o,cc,passing,AC+Debugger,127,2.968503937007874
gpt-4o,cc,passing,ACT+Debugger,127,4.035433070866142
gpt-4o,halstead_volume,passing,Basic,127,2.921259842519685
gpt-4o,halstead_volume,passing,AC,127,3.9763779527559056
gpt-4o,halstead_volume,passing,ACT,127,3.9448818897637796
gpt-4o,halstead_volume,passing,Debugger,127,3.0826771653543306
gpt-4o,halstead_volume,passing,AC+Debugger,127,2.9803149606299213
gpt-4o,halstead_volume,passing,ACT+Debugger,127,4.094488188976378
gpt-4o,halstead_difficulty,passing,Basic,127,2.968503937007874
gpt-4o,halstead_difficulty,passing,AC,127,3.9291338582677167
gpt-4o,halstead_difficulty,passing,ACT,127,3.952755905511811
gpt-4o,halstead_difficulty,passing,Debugger,127,3.043307086614173
gpt-4o,halstead_difficulty,passing,AC+Debugger,127,3.0039370078740157
gpt-4o,halstead_difficulty,passing,ACT+Debugger,127,4.102362204724409
gpt-4o,halstead_effort,passing,Basic,127,2.921259842519685
gpt-4o,halstead_effort,passing,AC,127,3.97244094488189
gpt-4o,halstead_effort,passing,ACT,127,3.9448818897637796
gpt-4o,halstead_effort,passing,Debugger,127,3.0354330708661417
gpt-4o,halstead_effort,passing,AC+Debugger,127,3.0196850393700787
gpt-4o,halstead_effort,passing,ACT+Debugger,127,4.106299212598425
gpt-4o-mini,sloc,primary,Basic,164,2.582317073170732
gpt-4o-mini,sloc,primary,AC,164,4.548780487804878
gpt-4o-mini,sloc,primary,ACT,164,4.414634146341464
gpt-4o-mini,sloc,primary,Debugger,164,2.5609756097560976
gpt-4o-mini,sloc,primary,AC+Debugger,164,2.5304878048780486
gpt-4o-mini,sloc,primary,ACT+Debugger,164,4.362804878048781
gpt-4o-mini,cc,primary,Basic,164,2.707317073170732
gpt-4o-mini,cc,primary,AC,164,4.222560975609756
gpt-4o-mini,cc,primary,ACT,164,4.173780487804878
gpt-4o-mini,cc,primary,Debugger,164,2.7591463414634148
gpt-4o-mini,cc,primary,AC+Debugger,164,2.7804878048780486
gpt-4o-mini,cc,primary,ACT+Debugger,164,4.3567073170731705
gpt-4o-mini,halstead_volume,primary,Basic,164,2.698170731707317
gpt-4o-mini,halstead_volume,primary,AC,164,4.204268292682927
gpt-4o-mini,halstead_volume,primary,ACT,164,4.185975609756097
gpt-4o-mini,halstead_volume,primary,Debugger,164,2.8201219512195124
gpt-4o-mini,halstead_volume,primary,AC+Debugger,164,2.8445121951219514
gpt-4o-mini,halstead_volume,primary,ACT+Debugger,164,4.246951219512195
gpt-4o-mini,halstead_difficulty,primary,Basic,164,2.731707317073171
gpt-4o-mini,halstead_difficulty,primary,AC,164,4.134146341463414
gpt-4o-mini,halstead_difficulty,primary,ACT,164,4.210365853658536
gpt-4o-mini,halstead_difficulty,primary,Debugger,164,2.7896341463414633
gpt-4o-mini,halstead_difficulty,primary,AC+Debugger,164,2.8201219512195124
gpt-4o-mini,halstead_difficulty,primary,ACT+Debugger,164,4.314024390243903
gpt-4o-mini,halstead_effort,primary,Basic,164,2.692073170731707
gpt-4o-mini,halstead_effort,primary,AC,164,4.140243902439025
gpt-4o-mini,halstead_effort,primary,ACT,164,4.182926829268292
gpt-4o-mini,halstead_effort,primary,Debugger,164,2.817073170731707
gpt-4o-mini,halstead_effort,primary,AC+Debugger,164,2.823170731707317
gpt-4o-mini,halstead_effort,primary,ACT+Debugger,164,4.344512195121951
gpt-4o-mini,sloc,passing,Basic,124,2.5403225806451615
gpt-4o-mini,sloc,passing,AC,124,4.491935483870968
gpt-4o-mini,sloc,passing,ACT,124,4.451612903225806
gpt-4o-mini,sloc,passing,Debugger,124,2.5766129032258065
gpt-4o-mini,sloc,passing,AC+Debugger,124,2.475806451612903
gpt-4o-mini,sloc,passing,ACT+Debugger,124,4.463709677419355
gpt-4o-mini,cc,passing,Basic,124,2.6693548387096775
gpt-4o-mini,cc,passing,AC,124,4.306451612903226
gpt-4o-mini,cc,passing,ACT,124,4.193548387096774
gpt-4o-mini,cc,passing,Debugger,124,2.689516129032258
gpt-4o-mini,cc,passing,AC+Debugger,124,2.6774193548387095
gpt-4o-mini,cc,passing,ACT+Debugger,124,4.463709677419355
gpt-4o-mini,halstead_volume,passing,Basic,124,2.6370967741935485
gpt-4o-mini,halstead_volume,passing,AC,124,4.266129032258065
gpt-4o-mini,halstead_volume,passing,ACT,124,4.221774193548387
gpt-4o-mini,halstead_volume,passing,Debugger,124,2.774193548387097
gpt-4o-mini,halstead_volume,passing,AC+Debugger,124,2.7056451612903225
gpt-4o-mini,halstead_volume,passing,ACT+Debugger,124,4.395161290322581
gpt-4o-mini,halstead_difficulty,passing,Basic,124,2.689516129032258
gpt-4o-mini,halstead_difficulty,passing,AC,124,4.181451612903226
gpt-4o-mini,halstead_difficulty,passing,ACT,124,4.241935483870968
gpt-4o-mini,halstead_difficulty,passing,Debugger,124,2.7620967741935485
gpt-4o-mini,halstead_difficulty,passing,AC+Debugger,124,2.6693548387096775
gpt-4o-mini,halstead_difficulty,passing,ACT+Debugger,124,4.455645161290323
gpt-4o-mini,halstead_effort,passing,Basic,124,2.6370967741935485
gpt-4o-mini,halstead_effort,passing,AC,124,4.241935483870968
gpt-4o-mini,halstead_effort,passing,ACT,124,4.221774193548387
gpt-4o-mini,halstead_effort,passing,Debugger,124,2.7661290322580645
gpt-4o-mini,halstead_effort,passing,AC+Debugger,124,2.657258064516129
gpt-4o-mini,halstead_effort,passing,ACT+Debugger,124,4.475806451612903
